[2017-03-26 23:36:03] Resource store.INFO: Se guardó la imagen "3878ebd076a53e49ad0cb7a9169b00b6.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\3878ebd076a53e49ad0cb7a9169b00b6.jpg" [] []
[2017-03-27 14:39:47] Resource store =>.INFO: Se guardó la imagen "374b41b0841628e8eca14c9f94b015a4.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\374b41b0841628e8eca14c9f94b015a4.jpg" [] []
[2017-03-27 14:43:19] Resource store =>.INFO: Se guardó la imagen "812743a197ba7f7f63e6f61c2a2356e3.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\812743a197ba7f7f63e6f61c2a2356e3.jpg" [] []
[2017-03-27 14:44:29] Resource store =>.INFO: Se guardó la imagen "8a9218b8bcea7eb6a90fa4c9879a72a9.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\8a9218b8bcea7eb6a90fa4c9879a72a9.jpg" [] []
[2017-03-27 14:44:38] Resource store =>.INFO: Se guardó la imagen "8bf3a4e07145023e01ed8a548b1df8e6.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\8bf3a4e07145023e01ed8a548b1df8e6.jpg" [] []
[2017-03-27 14:44:57] Resource store =>.INFO: Se guardó la imagen "6ea3c5d2974f47baa99386faa7b94b44.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\6ea3c5d2974f47baa99386faa7b94b44.jpg" [] []
[2017-03-27 14:53:09] Resource store =>.INFO: Se guardó la imagen "50b1ca50f1963ecc2b7b472f051d4864.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\50b1ca50f1963ecc2b7b472f051d4864.jpg" [] []
[2017-03-27 14:53:53] Resource store =>.INFO: Se guardó la imagen "c948b58972761907565078ecb77bacb3.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\c948b58972761907565078ecb77bacb3.jpg" [] []
[2017-03-27 14:54:01] Resource store =>.INFO: Se guardó la imagen "7631b7efdef16a6639119d34921b4416.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\7631b7efdef16a6639119d34921b4416.jpg" [] []
[2017-03-27 14:54:59] Resource store =>.INFO: Se guardó la imagen "0391935d8dcef82b35728ceae79b2ae7.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\0391935d8dcef82b35728ceae79b2ae7.jpg" [] []
[2017-03-27 14:56:45] Resource store =>.INFO: Se guardó la imagen "90c53f93caf3f8b2a351015c46de1a18.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\90c53f93caf3f8b2a351015c46de1a18.jpg" [] []
[2017-03-27 14:57:22] Resource store =>.INFO: Se guardó la imagen "0383d9252ef52a3f136a3ef4b18008b8.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\0383d9252ef52a3f136a3ef4b18008b8.jpg" [] []
[2017-03-27 14:58:39] Resource store =>.INFO: Se guardó la imagen "f6bb60c3379a62011c94064807c687b0.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\f6bb60c3379a62011c94064807c687b0.jpg" [] []
[2017-03-27 15:05:22] Resource store =>.INFO: Se guardó la imagen "cd04dcad55e7947092d319ef4f0caa63.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\cd04dcad55e7947092d319ef4f0caa63.jpg" [] []
[2017-03-27 15:05:42] Resource store =>.INFO: Se guardó la imagen "39b9938bc8ea49de5e6ad964e98952cd.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\39b9938bc8ea49de5e6ad964e98952cd.jpg" [] []
[2017-03-27 15:13:12] Resource store =>.INFO: Se guardó la imagen "c44ddcccdcffecc2f3940b1b3640bd51.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\c44ddcccdcffecc2f3940b1b3640bd51.jpg" [] []
[2017-03-27 15:13:29] Resource store =>.INFO: Se guardó la imagen "6836e13c9043644e516f00091448ad33.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\6836e13c9043644e516f00091448ad33.jpg" [] []
[2017-03-27 15:14:58] Resource store =>.INFO: Se guardó la imagen "c01972a7cf3012ab7b744f47d7dfd3ef.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\c01972a7cf3012ab7b744f47d7dfd3ef.jpg" [] []
[2017-03-27 15:15:23] Resource store =>.INFO: Se guardó la imagen "e40be59247d3d9ee7002e25440b59b3c.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\e40be59247d3d9ee7002e25440b59b3c.jpg" [] []
[2017-03-27 15:17:13] Resource store =>.INFO: Se guardó la imagen "2040ceb8cf7d11172ca5eb110702a7d7.jpg" en la carpeta "C:\Users\nico\PhpstormProjects\tsfi\public\images\2040ceb8cf7d11172ca5eb110702a7d7.jpg" [] []
